(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   18 | 2026-03-07 15:13:48 |   c1 |   25.3 |   56.6 |   174.5 |   106248 |   34.1 |    25.8
   18 | 2026-03-07 15:13:49 |   c2 |   42.9 |   63.7 |   194.9 |    69826 |   32.8 |    14.4
   18 | 2026-03-07 15:13:50 |   c3 |   49.1 |   45.6 |   150.6 |   293601 |   26.9 |    14.5
   19 | 2026-03-07 15:13:51 |   c1 |   30.3 |   56.7 |   174.7 |    74195 |   33.8 |    18.3
   19 | 2026-03-07 15:13:51 |   c2 |   44.5 |   35.9 |   113.8 | -33937510 |   32.5 |    13.4
   19 | 2026-03-07 15:13:52 |   c3 |   47.7 |   45.6 |   150.7 |    48451 |   26.6 |    17.6
   20 | 2026-03-07 15:13:53 |   c1 |   32.9 |   56.8 |   175.1 |   164569 |   33.4 |    15.8
   20 | 2026-03-07 15:13:54 |   c2 |   45.1 |   36.3 |   114.9 |   471365 |   32.2 |    13.2
   20 | 2026-03-07 15:13:54 |   c3 |   49.1 |   45.7 |   150.9 |    72921 |   26.3 |    13.2
   21 | 2026-03-07 15:13:56 |   c1 |   26.7 |   46.9 |   136.1 | -16070167 |   33.3 |    13.1
   21 | 2026-03-07 15:13:56 |   c2 |   49.0 |   36.3 |   115.1 |    71209 |   31.8 |    13.7
   21 | 2026-03-07 15:13:57 |   c3 |   48.3 |   45.8 |   151.3 |   202439 |   26.0 |    12.0
   22 | 2026-03-07 15:13:58 |   c1 |   25.9 |   54.3 |   157.6 |  9425570 |   33.0 |    15.0
   22 | 2026-03-07 15:13:58 |   c2 |   48.5 |   36.5 |   115.4 |   155828 |   31.5 |    12.9
   22 | 2026-03-07 15:13:59 |   c3 |   46.1 |   46.0 |   152.0 |   269988 |   25.8 |    10.5
   23 | 2026-03-07 15:14:00 |   c1 |   39.5 |   61.8 |   187.5 | 12581133 |   33.0 |    30.0
   23 | 2026-03-07 15:14:01 |   c2 |   54.3 |   36.6 |   115.9 |   208465 |   31.2 |    17.3
   23 | 2026-03-07 15:14:02 |   c3 |   49.7 |   46.1 |   152.2 |   116008 |   25.5 |    12.0
   24 | 2026-03-07 15:14:03 |   c1 |   32.6 |   69.0 |   209.5 |  8836215 |   32.9 |    19.5
   24 | 2026-03-07 15:14:03 |   c2 |   47.0 |   36.8 |   116.7 |   288512 |   30.8 |    14.4
   24 | 2026-03-07 15:14:04 |   c3 |   51.5 |   46.1 |   152.4 |    71711 |   25.2 |    13.3
   25 | 2026-03-07 15:14:05 |   c1 |   73.8 |   46.1 |   220.1 |  4143818 |   34.0 |  1032.5
   25 | 2026-03-07 15:14:07 |   c2 |   75.5 |   37.4 |   118.3 |   429530 |   30.6 |    22.2
   25 | 2026-03-07 15:14:08 |   c3 |   75.4 |   47.6 |   157.3 |  1242928 |   24.9 |    22.7
