
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
   18 | 2026-03-02 23:13:58 |   c2 |   36.6 |   62.5 |   360.6 |   393844 |    1.9 |     3.8
   18 | 2026-03-02 23:14:00 |   c3 |   84.4 |   46.2 |   295.5 |   483767 |    1.9 |     3.9
   19 | 2026-03-02 23:14:03 |   c1 |   84.9 |   80.4 |   386.5 |  9400301 |  150.0 |     8.6
   19 | 2026-03-02 23:14:04 |   c2 |   96.2 |   62.6 |   361.2 |   110410 |    1.9 |     2.7
   19 | 2026-03-02 23:14:05 |   c3 |   98.6 |   46.2 |   295.5 |        0 |    1.9 |     2.8
   20 | 2026-03-02 23:14:07 |   c1 |   49.6 |    0.0 |       - | -92386532 |    0.0 |     0.0
   20 | 2026-03-02 23:14:08 |   c2 |   25.9 |   62.7 |   361.6 |   100093 |    1.9 |     3.5
   20 | 2026-03-02 23:14:08 |   c3 |   40.0 |   46.2 |   296.0 |   217170 |    1.9 |     2.6
   21 | 2026-03-02 23:14:09 |   c1 |    8.3 |    0.0 |       - |        0 |    0.0 |     0.0
   21 | 2026-03-02 23:14:09 |   c2 |   16.7 |   62.7 |   362.1 |   460096 |    1.9 |     3.2
   21 | 2026-03-02 23:14:09 |   c3 |   42.1 |   46.2 |   296.0 |        0 |    1.9 |     2.5
   22 | 2026-03-02 23:14:09 |   c1 |    9.4 |    0.0 |       - |        0 |    0.0 |     0.0
   22 | 2026-03-02 23:14:10 |   c2 |   20.0 |   62.8 |   362.5 |   471847 |    1.9 |     3.5
   22 | 2026-03-02 23:14:10 |   c3 |   45.7 |   46.2 |   296.0 |        0 |    1.9 |     3.2
   23 | 2026-03-02 23:14:10 |   c1 |    8.9 |    0.0 |       - |        0 |    0.0 |     0.0
   23 | 2026-03-02 23:14:10 |   c2 |   24.0 |   62.9 |   362.9 |   459870 |    1.9 |    10.7
   23 | 2026-03-02 23:14:11 |   c3 |   42.5 |   46.2 |   296.0 |        0 |    1.9 |     2.5
   24 | 2026-03-02 23:14:11 |   c1 |   10.1 |    0.0 |       - |        0 |    0.0 |     0.0
   24 | 2026-03-02 23:14:11 |   c2 |   26.9 |   62.9 |   363.3 |   471440 |    1.9 |     5.8
   24 | 2026-03-02 23:14:12 |   c3 |   45.7 |   46.3 |   296.6 |   610254 |    1.9 |     5.2
   25 | 2026-03-02 23:14:12 |   c1 |    9.0 |    0.0 |       - |        0 |    0.0 |     0.0
   25 | 2026-03-02 23:14:12 |   c2 |   16.7 |   62.9 |   363.3 |        0 |    1.9 |     3.7
   25 | 2026-03-02 23:14:12 |   c3 |   39.0 |   46.3 |   296.6 |        0 |    1.9 |     2.7
   26 | 2026-03-02 23:14:13 |   c1 |   11.1 |    0.0 |       - |        0 |    0.0 |     0.0
   26 | 2026-03-02 23:14:13 |   c2 |   20.7 |   62.9 |   363.3 |        0 |    1.9 |     3.8
   26 | 2026-03-02 23:14:13 |   c3 |   39.0 |   46.4 |   297.1 |   573877 |    1.9 |     3.6
   27 | 2026-03-02 23:14:14 |   c1 |    9.2 |    0.0 |       - |        0 |    0.0 |     0.0
   27 | 2026-03-02 23:14:14 |   c2 |   22.2 |   62.9 |   363.3 |        0 |    1.9 |     3.1
   27 | 2026-03-02 23:14:14 |   c3 |   45.5 |   46.5 |   297.6 |   592173 |    1.9 |     5.3
   28 | 2026-03-02 23:14:15 |   c1 |   10.1 |    0.0 |       - |        0 |    0.0 |     0.0
   28 | 2026-03-02 23:14:15 |   c2 |   18.5 |   62.9 |   363.3 |        0 |    1.9 |     3.4
   28 | 2026-03-02 23:14:15 |   c3 |   36.8 |   46.6 |   298.2 |   566272 |    1.9 |     3.2
